batter,sr_dth,sr_mid,sr_pp,runs,career_sr,matches,sr_pp_n,sr_mid_n,sr_dth_n,career_sr_n,perf_score,sr_best,sr_worst,phase_gap
JD Ryder,,,133.75,596,130.99,29,37.793646556326735,,,32.85186199342826,34.58,133.75,133.75,0.0
JH Kallis,172.81,98.51,105.64,2419,109.31,95,19.033635878270147,9.602649006622514,63.079019073569484,18.01067907995619,31.62,172.81,98.51,74.3
JJ Roy,,,131.94,614,139.23,21,36.585691404164436,,,38.492606790799556,37.83,131.94,131.94,0.0
JM Bairstow,,140.73,151.52,1672,146.41,52,49.65296316070474,59.53169347209081,,43.40772179627601,50.43,151.52,140.73,10.8
JM Sharma,183.14,138.72,,1100,152.14,59,,57.1546830652791,70.89766878595215,47.33023001095289,58.53,183.14,138.72,44.4
JO Holder,131.98,,,324,124.14,34,,,32.17529518619436,28.16265060240964,29.57,131.98,131.98,0.0
JP Duminy,170.54,104.0,98.33,2026,124.22,75,14.155098772023479,16.095080416272467,61.36088404480775,28.217415115005466,31.26,170.54,98.33,72.2
JP Faulkner,156.27,,,524,136.1,45,,,50.56009688162277,36.3499452354874,41.32,156.27,156.27,0.0
KA Pollard,170.0,124.49,,3411,147.34,168,,40.32639545884578,60.95216469875869,44.04435925520262,48.85,170.0,124.49,45.5
KC Sangakkara,,118.89,116.78,1680,121.3,68,26.46823278163373,33.70387890255441,,26.21851040525739,28.55,118.89,116.78,2.1
KD Karthik,173.33,122.28,98.02,4824,135.13,233,13.94821142552054,37.712866603595074,63.472600666061155,35.685925520262856,38.41,173.33,98.02,75.3
KH Pandya,158.25,121.72,,1969,133.4,123,,37.050614947965926,52.05873448380261,34.50164293537787,41.41,158.25,121.72,36.5
KK Nair,,123.23,127.33,1707,131.21,78,33.50907634810464,38.83632923368023,,33.00246440306681,34.93,127.33,123.23,4.1
KL Rahul,180.48,138.73,129.01,5818,139.35,149,34.63027229044313,57.166508987701036,68.88434756282167,38.574753559693306,53.38,180.48,129.01,51.5
KM Jadhav,137.66,117.21,,1191,122.91,81,,31.71712393566696,36.474417196488034,27.320646221248623,31.84,137.66,117.21,20.5
KP Pietersen,,127.89,133.45,1000,134.77,36,37.59343299519486,44.34720908230841,,35.439485213581605,38.87,133.45,127.89,5.6
KS Williamson,166.18,126.79,100.63,2128,125.77,76,15.690069407367844,43.04635761589404,58.060853769300635,29.278477546549823,38.73,166.18,100.63,65.6
KV Sharma,137.02,,,352,119.32,40,,,35.99000908265215,24.863088718510397,28.76,137.02,137.02,0.0
Kuldeep Yadav,89.47,,,210,83.0,41,,,0.0,0.0,0.0,89.47,89.47,0.0
LMP Simmons,,135.11,118.86,1079,127.24,29,27.85638013881473,52.885525070955566,,30.284775465498342,36.22,135.11,118.86,16.3
LR Shukla,133.54,,,405,115.71,33,,,33.35603996366939,22.39184008762321,26.23,133.54,133.54,0.0
LRPL Taylor,155.61,109.78,,1010,123.47,54,,22.930463576158928,50.0605510142295,27.70399780941949,34.1,155.61,109.78,45.8
LS Livingstone,,138.72,,1050,154.41,49,,57.1546830652791,,48.88417305585979,51.37,138.72,138.72,0.0
M Manhas,131.89,,,514,109.36,38,,,32.10717529518618,18.044906900328584,22.97,131.89,131.89,0.0
M Shahrukh Khan,166.53,,,775,148.18,53,,,58.32576445655465,44.61938663745893,49.42,166.53,166.53,0.0
M Vijay,,131.05,114.56,2619,121.98,105,24.986652429257873,48.0842005676443,,26.68400876232201,32.51,131.05,114.56,16.5
M Vohra,,,127.96,1083,130.8,51,33.92952482648157,,,32.72179627601315,33.14,127.96,127.96,0.0
MA Agarwal,,139.82,121.91,2746,133.76,125,29.89188467698878,58.45553453169347,,34.74808324205914,40.16,139.82,121.91,17.9
MC Henriques,165.84,113.51,,996,126.88,54,,27.341532639545903,57.80351195882531,30.038335158817077,38.95,165.84,113.51,52.3
MEK Hussey,,125.28,108.09,1976,122.73,58,20.66871329418045,41.26064333017976,,27.197426067907998,29.13,125.28,108.09,17.2
MK Pandey,150.86,118.05,114.85,4002,121.72,162,25.18019220501867,32.7105014191107,46.465334544353624,26.50602409638553,34.89,150.86,114.85,36.0
MK Tiwary,144.74,107.94,97.38,1685,116.69,83,13.52108916177255,20.754493850520333,41.83318195579777,23.06270536692223,25.6,144.74,97.38,47.4
ML Hayden,,,129.76,1096,137.17,32,35.130806193272804,,,37.082420591456724,36.4,129.76,129.76,0.0
MM Ali,,135.33,,1165,140.19,59,,53.145695364238435,,39.149780941949615,43.35,135.33,135.33,0.0
MP Stoinis,181.72,129.48,126.1,2228,147.45,108,32.68820074746395,46.227530747398276,69.82288828337873,44.11966046002189,49.75,181.72,126.1,55.6
MR Marsh,,139.82,156.37,1847,148.35,62,52.889749065670046,58.45553453169347,,44.735761226725074,51.71,156.37,139.82,16.6
MS Bisla,,,109.47,794,113.43,39,21.589695675387077,,,20.83105147864184,21.1,109.47,109.47,0.0
MS Dhoni,175.17,100.53,,5409,137.46,241,,11.991485335856197,64.86527399333939,37.28094194961665,39.35,175.17,100.53,74.6
Mandeep Singh,149.64,118.43,114.67,1705,123.1,97,25.060064068339557,33.159886471144745,45.54193157735391,27.450711938663744,34.66,149.64,114.67,35.0
N Pooran,178.0,158.84,,2522,163.98,100,,80.94843897824032,67.00726612170753,55.43537787513689,67.14,178.0,158.84,19.2
N Rana,182.16,137.58,121.0,3063,137.48,121,29.284570208222092,55.806527909176936,70.15591886164093,37.294633077765596,51.55,182.16,121.0,61.2
N Wadhera,,137.8,,783,140.57,37,,56.066698202459804,,39.40991237677984,44.41,137.8,137.8,0.0
NLTC Perera,152.3,,,421,137.58,30,,,47.55525280048441,37.36308871851041,40.93,152.3,152.3,0.0
