venue,phase,runs_c,balls,run_rate,boundary_rate,wickets,pitch_type
"Punjab Cricket Association IS Bindra Stadium, Mohali",Middle,1484,1145,7.78,13.28,45,⚖️ Balanced Pitch (Standard bounce & boundaries)
"Punjab Cricket Association IS Bindra Stadium, Mohali",Powerplay,1074,792,8.14,20.71,20,⚖️ Balanced Pitch (Standard bounce & boundaries)
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Death,436,257,10.18,20.62,24,"🏏 Batting Paradise (Fast outfield, small boundaries)"
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Middle,805,540,8.94,18.7,18,"🏏 Batting Paradise (Fast outfield, small boundaries)"
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Powerplay,529,360,8.82,24.72,18,"🏏 Batting Paradise (Fast outfield, small boundaries)"
"Punjab Cricket Association Stadium, Mohali",Death,2828,1794,9.46,19.34,146,⚖️ Balanced Pitch (Standard bounce & boundaries)
"Punjab Cricket Association Stadium, Mohali",Middle,4644,3700,7.53,13.19,159,⚖️ Balanced Pitch (Standard bounce & boundaries)
"Punjab Cricket Association Stadium, Mohali",Powerplay,3182,2520,7.58,20.2,103,⚖️ Balanced Pitch (Standard bounce & boundaries)
Rajiv Gandhi International Stadium,Death,1108,791,8.4,16.69,88,⚖️ Balanced Pitch (Standard bounce & boundaries)
Rajiv Gandhi International Stadium,Middle,1917,1621,7.1,11.66,67,⚖️ Balanced Pitch (Standard bounce & boundaries)
Rajiv Gandhi International Stadium,Powerplay,1470,1080,8.17,20.83,34,⚖️ Balanced Pitch (Standard bounce & boundaries)
"Rajiv Gandhi International Stadium, Uppal",Death,3914,2523,9.31,18.83,225,"🌀 Slower Pitch (Spinner friendly, low bounce)"
"Rajiv Gandhi International Stadium, Uppal",Middle,6294,5164,7.31,12.94,211,"🌀 Slower Pitch (Spinner friendly, low bounce)"
"Rajiv Gandhi International Stadium, Uppal",Powerplay,4150,3539,7.04,17.55,129,"🌀 Slower Pitch (Spinner friendly, low bounce)"
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Death,2302,1357,10.18,22.99,97,"🏏 Batting Paradise (Fast outfield, small boundaries)"
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Middle,4066,2722,8.96,18.26,111,"🏏 Batting Paradise (Fast outfield, small boundaries)"
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Powerplay,2859,1836,9.34,25.98,88,"🏏 Batting Paradise (Fast outfield, small boundaries)"
"Sardar Patel Stadium, Motera",Death,981,638,9.23,18.34,53,⚖️ Balanced Pitch (Standard bounce & boundaries)
"Sardar Patel Stadium, Motera",Middle,1568,1296,7.26,11.11,55,⚖️ Balanced Pitch (Standard bounce & boundaries)
"Sardar Patel Stadium, Motera",Powerplay,1112,873,7.64,19.82,35,⚖️ Balanced Pitch (Standard bounce & boundaries)
Saurashtra Cricket Association Stadium,Death,798,496,9.65,19.76,40,"🏏 Batting Paradise (Fast outfield, small boundaries)"
Saurashtra Cricket Association Stadium,Middle,1351,1078,7.52,12.71,45,"🏏 Batting Paradise (Fast outfield, small boundaries)"
Saurashtra Cricket Association Stadium,Powerplay,1085,731,8.91,23.8,23,"🏏 Batting Paradise (Fast outfield, small boundaries)"
Sawai Mansingh Stadium,Death,3578,2373,9.05,17.74,186,"🌀 Slower Pitch (Spinner friendly, low bounce)"
Sawai Mansingh Stadium,Middle,6091,5004,7.3,12.81,209,"🌀 Slower Pitch (Spinner friendly, low bounce)"
Sawai Mansingh Stadium,Powerplay,4052,3384,7.18,18.94,122,"🌀 Slower Pitch (Spinner friendly, low bounce)"
"Sawai Mansingh Stadium, Jaipur",Death,1887,1059,10.69,24.17,74,"🏏 Batting Paradise (Fast outfield, small boundaries)"
"Sawai Mansingh Stadium, Jaipur",Middle,3340,2234,8.97,17.68,90,"🏏 Batting Paradise (Fast outfield, small boundaries)"
"Sawai Mansingh Stadium, Jaipur",Powerplay,2324,1512,9.22,25.86,47,"🏏 Batting Paradise (Fast outfield, small boundaries)"
Shaheed Veer Narayan Singh International Stadium,Death,519,316,9.85,19.94,17,"🌀 Slower Pitch (Spinner friendly, low bounce)"
Shaheed Veer Narayan Singh International Stadium,Middle,740,648,6.85,11.57,25,"🌀 Slower Pitch (Spinner friendly, low bounce)"
Shaheed Veer Narayan Singh International Stadium,Powerplay,430,432,5.97,15.51,18,"🌀 Slower Pitch (Spinner friendly, low bounce)"
"Shaheed Veer Narayan Singh International Stadium, Raipur",Death,177,115,9.23,18.26,10,"🏏 Batting Paradise (Fast outfield, small boundaries)"
"Shaheed Veer Narayan Singh International Stadium, Raipur",Middle,298,216,8.28,14.81,4,"🏏 Batting Paradise (Fast outfield, small boundaries)"
"Shaheed Veer Narayan Singh International Stadium, Raipur",Powerplay,217,144,9.04,25.0,9,"🏏 Batting Paradise (Fast outfield, small boundaries)"
Sharjah Cricket Stadium,Death,2181,1464,8.94,18.37,119,⚖️ Balanced Pitch (Standard bounce & boundaries)
Sharjah Cricket Stadium,Middle,3624,2963,7.34,11.98,135,⚖️ Balanced Pitch (Standard bounce & boundaries)
Sharjah Cricket Stadium,Powerplay,2457,2016,7.31,17.66,68,⚖️ Balanced Pitch (Standard bounce & boundaries)
Sheikh Zayed Stadium,Death,2356,1491,9.48,20.32,127,"🌀 Slower Pitch (Spinner friendly, low bounce)"
Sheikh Zayed Stadium,Middle,3781,3111,7.29,11.93,110,"🌀 Slower Pitch (Spinner friendly, low bounce)"
Sheikh Zayed Stadium,Powerplay,2456,2107,6.99,17.09,92,"🌀 Slower Pitch (Spinner friendly, low bounce)"
St George's Park,Death,545,353,9.26,17.0,20,"🌀 Slower Pitch (Spinner friendly, low bounce)"
St George's Park,Middle,816,756,6.48,8.73,33,"🌀 Slower Pitch (Spinner friendly, low bounce)"
St George's Park,Powerplay,589,504,7.01,17.26,23,"🌀 Slower Pitch (Spinner friendly, low bounce)"
Subrata Roy Sahara Stadium,Death,1229,862,8.55,16.59,65,"🌀 Slower Pitch (Spinner friendly, low bounce)"
Subrata Roy Sahara Stadium,Middle,1842,1712,6.46,9.81,71,"🌀 Slower Pitch (Spinner friendly, low bounce)"
Subrata Roy Sahara Stadium,Powerplay,1304,1152,6.79,16.06,46,"🌀 Slower Pitch (Spinner friendly, low bounce)"
SuperSport Park,Death,892,591,9.06,17.77,43,"🌀 Slower Pitch (Spinner friendly, low bounce)"
SuperSport Park,Middle,1580,1297,7.31,12.64,50,"🌀 Slower Pitch (Spinner friendly, low bounce)"
SuperSport Park,Powerplay,1024,864,7.11,18.87,39,"🌀 Slower Pitch (Spinner friendly, low bounce)"
"Vidarbha Cricket Association Stadium, Jamtha",Death,197,171,6.91,11.11,25,"🌀 Slower Pitch (Spinner friendly, low bounce)"
"Vidarbha Cricket Association Stadium, Jamtha",Middle,399,324,7.39,11.73,12,"🌀 Slower Pitch (Spinner friendly, low bounce)"
"Vidarbha Cricket Association Stadium, Jamtha",Powerplay,249,216,6.92,16.2,11,"🌀 Slower Pitch (Spinner friendly, low bounce)"
Wankhede Stadium,Death,6198,3847,9.67,21.26,335,⚖️ Balanced Pitch (Standard bounce & boundaries)
Wankhede Stadium,Middle,9928,7806,7.63,14.98,337,⚖️ Balanced Pitch (Standard bounce & boundaries)
Wankhede Stadium,Powerplay,6371,5260,7.27,18.82,217,⚖️ Balanced Pitch (Standard bounce & boundaries)
"Wankhede Stadium, Mumbai",Death,5232,2995,10.48,24.41,234,"🏏 Batting Paradise (Fast outfield, small boundaries)"
"Wankhede Stadium, Mumbai",Middle,8888,6355,8.39,17.28,284,"🏏 Batting Paradise (Fast outfield, small boundaries)"
"Wankhede Stadium, Mumbai",Powerplay,5796,4248,8.19,21.89,175,"🏏 Batting Paradise (Fast outfield, small boundaries)"
"Zayed Cricket Stadium, Abu Dhabi",Death,572,394,8.71,18.78,34,⚖️ Balanced Pitch (Standard bounce & boundaries)
"Zayed Cricket Stadium, Abu Dhabi",Middle,1029,834,7.4,12.95,39,⚖️ Balanced Pitch (Standard bounce & boundaries)
"Zayed Cricket Stadium, Abu Dhabi",Powerplay,780,576,8.12,20.49,19,⚖️ Balanced Pitch (Standard bounce & boundaries)
